seed,split,amount_tolerance,amount_tolerance_pct,threshold,candidate_clusters,labelled_clusters,positive_clusters,negative_clusters,precision,recall,f1,fpr,customer_coverage
45,development,0.005,0.5,70.0,74,74,21,53,1.0,0.047619047619047616,0.0909090909090909,0.0,0.02
45,development,0.005,0.5,80.0,74,74,21,53,,0.0,,0.0,0.0
45,development,0.005,0.5,90.0,74,74,21,53,,0.0,,0.0,0.0
45,development,0.001,0.1,52.0,74,74,21,53,0.7142857142857143,0.23809523809523808,0.35714285714285715,0.03773584905660377,0.16666666666666666
45,development,0.0025,0.25,52.0,74,74,21,53,0.7142857142857143,0.23809523809523808,0.35714285714285715,0.03773584905660377,0.16666666666666666
45,development,0.005,0.5,52.0,74,74,21,53,0.75,0.2857142857142857,0.4137931034482759,0.03773584905660377,0.20666666666666667
45,development,0.0075,0.75,52.0,74,74,21,53,0.75,0.2857142857142857,0.4137931034482759,0.03773584905660377,0.20666666666666667
45,development,0.01,1.0,52.0,74,74,21,53,0.75,0.2857142857142857,0.4137931034482759,0.03773584905660377,0.20666666666666667
46,development,0.005,0.5,20.0,85,85,20,65,0.3389830508474576,1.0,0.5063291139240507,0.6,0.6133333333333333
46,development,0.005,0.5,30.0,85,85,20,65,0.3157894736842105,0.6,0.41379310344827586,0.4,0.37333333333333335
46,development,0.005,0.5,40.0,85,85,20,65,0.2972972972972973,0.55,0.38596491228070173,0.4,0.35333333333333333
46,development,0.005,0.5,50.0,85,85,20,65,1.0,0.35,0.5185185185185185,0.0,0.22
46,development,0.005,0.5,52.0,85,85,20,65,1.0,0.35,0.5185185185185185,0.0,0.22
46,development,0.005,0.5,55.0,85,85,20,65,1.0,0.3,0.4615384615384615,0.0,0.18666666666666668
46,development,0.005,0.5,60.0,85,85,20,65,1.0,0.2,0.33333333333333337,0.0,0.10666666666666667
46,development,0.005,0.5,70.0,85,85,20,65,1.0,0.15,0.2608695652173913,0.0,0.08
46,development,0.005,0.5,80.0,85,85,20,65,1.0,0.05,0.09523809523809523,0.0,0.02666666666666667
46,development,0.005,0.5,90.0,85,85,20,65,,0.0,,0.0,0.0
46,development,0.001,0.1,52.0,85,85,20,65,1.0,0.35,0.5185185185185185,0.0,0.22
46,development,0.0025,0.25,52.0,85,85,20,65,1.0,0.35,0.5185185185185185,0.0,0.22
46,development,0.005,0.5,52.0,85,85,20,65,1.0,0.35,0.5185185185185185,0.0,0.22
46,development,0.0075,0.75,52.0,85,85,20,65,1.0,0.35,0.5185185185185185,0.0,0.22
